ComplexPropertyName,PropertyName,IFCType,Description,DataType,Unit,EnumerationReference,Mandatory/ Optional,ISO22057GUID,Specification,PropertyForDependance,PropertyDependsOn
LCACP_SubScenarioTransport,,IfcComplexProperty,,,,,,,,,
,VehicleType,IfcPropertySingleValue,type of vehicle within a transport type,IfcLabel,unitless,,O,3Q$Cr8XFX7a8op10gKcv3k,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/vehicletype,TransportType,
,TransportDistance,IfcPropertySingleValue,distance that is needed to transport any goods or personell from its startingpoint to final destination,IfcReal,km,,O,0hMXbHqzHA4geHi4BQTl5v,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/transportdistance,TransportType,
,BulkDensity,IfcPropertySingleValue,mass of a quantity of a bulk solid divided by its total volume,IfcMassMeasure,kg/m³,,O,0aT5NVUKrBsBDtlO3FKfIm,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/bulkdensity,,
,TransportType,IfcPropertyEnumeratedValue,mode of transport,,unitless,PEnum_TransportType,O,3_mgczxUP9vf7N9e8CPkLT,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/transporttype,,"TransportDistance,VehicleType,FuelType,FuelConsumption,PowerConsumption,CapacityUtilisation,VolumeCapacityUtilisationFactor"
,CapacityUtilisation,IfcPropertySingleValue,a measure (in percent) of the amount a given vehicle type is loaded compared to its full load capacity in volume or weight,IfcPositiveRatioMeasure,pct,,O,2Mvjet6QT6zR9h2yuSanrP,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/capacityutilisation,TransportType,
,FuelConsumption,IfcPropertySingleValue,Quantity of fuel consumed,IfcNumericMeasure,l/100km,,O,1ET2TBWwD1Jfv8TmuDJQTD,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/fuelconsumption,TransportType,
,FuelType,IfcPropertyEnumeratedValue,Type of fuel consumed,,unitless,PEnum_FuelType,O,2gj7RUy9b41x9w1nJ9Fjxb,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/fueltype,TransportType,
,PowerConsumption,IfcPropertySingleValue,quantity of electricity consumed,IfcEnergyMeasure,kWh/100km,,O,3Xf1mtcXb0zuXMtP2MBEMP,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/powerconsumption,TransportType,
,VolumeCapacityUtilisationFactor,IfcPropertySingleValue,factor showing the way in which the load of products may be limited by volume rather than mass,IfcPositiveRatioMeasure,pct,,O,1y00tVbXT8keZ2KA_eVC9I,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/volumecapacityutilisationfactor,TransportType,
LCACP_SubScenarioEnergyWaterAndAncillaryMaterials,,IfcComplexProperty,,,,,,,,,
,TypeOfAncillaryMaterials,IfcPropertySingleValue,any subordinate or helping materials that are needed to install the product of interest,IfcLabel,unitless,,O,1cPZgDPob9cAeE1JhNM$$c,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/typeofancillarymaterials,,"AncillaryMaterialsAmount, MaintenanceProcess"
,AncillaryMaterialsAmount,IfcPropertySingleValue,Amount of any subordinate or helping materials that are needed to install the product of interest,IfcMassMeasure,kg,,O,2pRWBy56DEkREiWiCT$Q3F,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/ancillarymaterialsamount,TypeOfAncillaryMaterials,
,WaterType,IfcPropertySingleValue,"water can be classified as freshwater, surface water, brackish water, seawater, groundwater",IfcLabel,unitless,,O,3$isjC0sDCkPkVTqxIF_wQ,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/watertype,,WaterUse
,WaterUse,IfcPropertySingleValue,quantity of water used as part of the processes within the information module,IfcVolumeMeasure,m³ world eq deprived,,O,2inbbOlIb1FgDsscy2qTpi,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/wateruse,WaterType,
,EnergyType,IfcPropertySingleValue,"energy can be classified as hydroenergy, solar energy, tidal energy, wind energy, waves energy, etc",IfcLabel,unitless,,O,2gqXb8nrn3_eDsSsudXMEx,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/energytype,,EnergyUse
,EnergyUse,IfcPropertySingleValue,"amount of energy used during installation, use or demolition of the construction product",IfcEnergyMeasure,MJ,,O,3KAm4tUCD5rAXxxirDVWVp,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/energyuse,EnergyType,
LCACP_SubScenarioWasteHandling,,IfcComplexProperty,,,,,,,,,
,WasteTypeByMaterial,IfcPropertySingleValue,Description of the waste material,IfcLabel,unitless,,O,1kcJ2wVpH6Y8ppl5JZXCSZ,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/wastetypebymaterial,,
,WasteAmountMass,IfcPropertySingleValue,Amount of waste generated given in mass,IfcMassMeasure,kg,,O,0lIxi0Qa9F1uIjXMF5wg2r,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/wasteamountmass,,
,EndOfLifeRoute,IfcPropertyEnumeratedValue,"Description of which end-of-life routes cover the waste treatment; landfill, recycling, energy recover or incineration",,unitless,PEnum_EndOfLifeRoute,O,2ithCBARzF3PQ9yYpSBY8d,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/endofliferoute,,
LCACP_SubScenarioPackagingWasteHandling,,IfcComplexProperty,,,,,,,,,
,PackagingWasteTypeByMaterial,IfcPropertySingleValue,Description of the packaging waste material,IfcLabel,unitless,,O,2l0go$3i5AoAm0hbTMUnwT,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/packagingwastetypebymaterial,,
,PackagingWasteAmountMass,IfcPropertySingleValue,Amount of packaging waste generated given in mass,IfcMassMeasure,kg,,O,3kL$ULyPT3wBjGd0ninm$K,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/packagingwasteamountmass,,
,PackagingEndOfLifeRoute,IfcPropertyEnumeratedValue,"Description of which end-of-life routes cover the waste treatment; landfill, recycling, energy recover or incineration",,unitless,PEnum_EndOfLifeRoute,O,3vBD0CSBj5sflaEZon61od,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/packagingendofliferoute,,
LCACP_SubScenarioMaintenanceProcess,,IfcComplexProperty,,,,,,,,,
,MaintenanceProcess,IfcPropertySingleValue,Description of the technological characteristics of the maintenance process,IfcText,unitless,,O,0JdKr9Hdn5_fOCtGZKlCbb,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/maintenanceprocess,MaterialTypeForMaintenance ,"ProcessCycleInterval, ProcessCycleNumberPerRSL, ProcessCycleNumberPerYear"
,PeriodOfAssessment,IfcPropertySingleValue,Period of assessing the environmental impacts of product system and decisions,IfcTimeMeasure,yr,,O,11U6k2jRP1NvJWkn1D2KRo,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/periodofassessment,,
,ProcessCycleInterval,IfcPropertySingleValue,"Interval of years between repair, replacement or refurbishment processes",IfcTimeMeasure,yr,,O,21j$oRC$fAthj680xhE$ZC,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processcycleinterval,MaintenanceProcess,
,ProcessCycleNumberPerRSL,IfcPropertySingleValue,"Number of maintenance, repair, replacement or refurbishment processes per RSL",IfcCountMeasure,unitless,,O,0Tpf8KPrfAfOFvC0ql1L28,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processcyclenumberperrsl,MaintenanceProcess,
,ProcessCycleNumberPerYear,IfcPropertySingleValue,"Number of maintenance processes per year; i.e., cleaning windows every 3 months or 4 times a year",IfcCountMeasure,unitless,,O,0xL3b09enEYxCK3CzoIwWH,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processcyclenumberperyear,MaintenanceProcess,
,MaterialTypeForMaintenance ,IfcPropertySingleValue,TBD,IfcLabel,unitless,,O,1MBlRnAXDCVAC2vNMTHLk3,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialtypeformaintenance,,"MaterialAmountMass, MaintenanceProcess"
,MaterialAmountMass ,IfcPropertySingleValue,TBD,IfcMassMeasure,kg,,O,2F_Xoy2D9BJx2V1dHC_htj,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialamountmass,MaterialTypeForMaintenance ,
LCACP_SubScenarioRepairProcess,,IfcComplexProperty,,,,,,,,,
,RepairProcess,IfcPropertySingleValue,Description of the technological characteristics of the repair process,IfcText,unitless,,O,1cv__yPXf1bQi94VM7HJK_,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/repairProcess,MaterialTypeForRepair,"ProcessCycleInterval, ProcessCycleNumberPerRSL, ProcessCycleNumberPerYear"
,InspectionProcess,IfcPropertySingleValue,Description of the technological characteristics of the inspection process,IfcText,unitless,,O,0Nrl1iyND9ivfKjrAWnG_7,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/inspectionProcess,,
,PeriodOfAssessment,IfcPropertySingleValue,period of assessment,IfcTimeMeasure,yr,,O,11U6k2jRP1NvJWkn1D2KRo,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/periodOfAssessment,,
,ProcessCycleNumberPerRSL,IfcPropertySingleValue,"number of maintenance, repair, replacement or refurbishment processes per RSL",IfcCountMeasure,unitless,,O,0Tpf8KPrfAfOFvC0ql1L28,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processCycleNumberPerRSL,RepairProcess,
,ProcessCycleInterval,IfcPropertySingleValue,"Interval of years between repair, replacement or refurbishment processes",IfcTimeMeasure,yr,,O,21j$oRC$fAthj680xhE$ZC,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processcycleinterval,RepairProcess,
,ProcessCycleNumberPerYear,IfcPropertySingleValue,"number of maintenance processes per year; i.e., cleaning windows every 3 months or 4 times a year",IfcCountMeasure,unitless,,O,0xL3b09enEYxCK3CzoIwWH,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processCycleNumberPerYear,RepairProcess,
,MaterialTypeForRepair,IfcPropertySingleValue,TBD,IfcText,unitless,,O,2LQVOXA8P4BQODT8O6XmrR,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialTypeForRepair,,"MaterialAmountMass, RepairProcess"
,MaterialAmountMass,IfcPropertySingleValue,TBD,IfcMassMeasure,kg,,O,2F_Xoy2D9BJx2V1dHC_htj,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialAmountMass,MaterialTypeForRepair,
LCACP_SubScenarioReplacementProcess,,IfcComplexProperty,,,,,,,,,
,ReplacementProcess,IfcPropertySingleValue,Description of the technological characteristics of the replacement process,IfcText,unitless,,O,3kDVOTgaj1V8MWoKPVuvOu,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/replacementProcess,MaterialTypeForReplacement,"ProcessCycleInterval, ProcessCycleNumberPerRSL, ProcessCycleNumberPerYear"
,PeriodOfAssessment,IfcPropertySingleValue,period of assessment,IfcTimeMeasure,yr,,O,0Nrl1iyND9ivfKjrAWnG_7,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/periodOfAssessment,,
,ProcessCycleNumberPerRSL,IfcPropertySingleValue,"number of maintenance, repair, replacement or refurbishment processes per RSL",IfcCountMeasure,unitless,,O,11U6k2jRP1NvJWkn1D2KRo,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processCycleNumberPerRSL,ReplacementProcess,
,ProcessCycleInterval,IfcPropertySingleValue,"Interval of years between repair, replacement or refurbishment processes",IfcTimeMeasure,yr,,O,0Tpf8KPrfAfOFvC0ql1L28,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processcycleinterval,ReplacementProcess,
,ProcessCycleNumberPerYear,IfcPropertySingleValue,"number of maintenance processes per year; i.e., cleaning windows every 3 months or 4 times a year",IfcCountMeasure,unitless,,O,21j$oRC$fAthj680xhE$ZC,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/processCycleNumberPerYear,ReplacementProcess,
,MaterialTypeForReplacement,IfcPropertySingleValue,TBD,IfcText,unitless,,O,2ZjjMk6gX4VBuUxLn5usu4,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialTypeForReplacement,,"MaterialAmountMass, ReplacementProcess"
,MaterialAmountMass,IfcPropertySingleValue,TBD,IfcMassMeasure,kg,,O,2F_Xoy2D9BJx2V1dHC_htj,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/materialAmountMass,MaterialTypeForReplacement,
LCACP_SubScenarioRefurbishmentProcess,,IfcComplexProperty,,,,,,,,,
,RefurbishmentProcess,IfcPropertySingleValue,Description of the technological characteristics of the refurbishment process,IfcText,unitless,,O,0XJMIc$sT8WRfE1BYgeX5c,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/replacementProcess,MaterialTypeForRefurbishment,"ProcessCycleInterval, ProcessCycleNumberPerRSL, ProcessCycleNumberPerYear"
,PeriodOfAssessment,IfcPropertySingleValue,period of assessment,IfcTimeMeasure,yr,,O,0Nrl1iyND9ivfKjrAWnG_7,https://identifier.buildingsmart.org/uri/LCA/LCA/3.0/prop/periodOfAssessment,,
