PEnumName,EnumerationValues,DataType,ISO22057GUID,
PEnum_ScenarioType,,,,
,100%,IfcLabel,2rujdOSSfCgg64v5nNkWA$,
,MIXED,IfcLabel,2rOxRwTr92yg6pbOCY_zwJ,
PEnum_DescriptionOfApproachUsed,,,,
,AVERAGE,IfcLabel,1bpMLSlfXDw9xBrwEmauRb,
,REPRESENTATIVE,IfcLabel,2ACqmr_hHBov36Q7c1pJsB,
,INDICATIVE,IfcLabel,1KENYLPKD8owA8E5Y4Wekg,
,CASESPECIFIC,IfcLabel,250V1Eyj1CbOA2nKhbt7f0,
PEnum_EPDTypeManufacturerRepresentation,,,,
,valid for a single manufacturing site,IfcText,2g3mkDXVn5AOWLH5QpXQK3,
,valid for several manufacturing sites from the same company with variation below 10 %,IfcText,130vSkikPBN89QJYMr$UNK,
,valid for several manufacturing sites from the same company with variation above 10 %,IfcText,0ZMZxXAsTAnOaaWBKpPrmH,
,valid for several companies’ sites with variation below 10 %,IfcText,1UT0Gcc0L9dgWQr_PA5GdE,
,valid for several companies’ sites with variation above 10 %.,IfcText,0Zf5EF$mn40PCTLcSCiW$w,
PEnum_ProductRepresentativenessISO21930,,,,
,valid for a single product where variability is not described,IfcText,3DcGN88gv3GuBC43HJrKak,
,valid for a single product where variability is described,IfcText,3FQ1wdXDzDKBw6BXumE7Yo,
,valid for a range of products where variability is not described,IfcText,1r7ryPynj0s994XZXM49t9,
,valid for a range of products where variability is not described,IfcText,3uLHhf_6j9AwVgA3xfHAJV,
PEnum_ProductRepresentativenessEN15804,,,,
,valid for a single product,IfcText,3C6Aw6tZ1DMvJV7v$LdHBR,
,valid for several products with variation below 10 %,IfcText,0MMBPhv8H0BugrUxxxsbjV,
,valid for products with variation above 10 %,IfcText,32OjTn9yvBw8LuE5rm3plu,
PEnum_TransportType,,,,
,RAILWAY,IfcLabel,0076ivDdr3S86a7tBBOMJ$,
,AIR,IfcLabel,2PExH45Sv0LRVhAm2vbI5_,
,ROAD,IfcLabel,1zRtqlvGP5uAIqNylXBjPy,
,INLANDWATER,IfcLabel,053s1Kefr9qud7y54UM3PS,
,COASTALSHIPPING,IfcLabel,3Is8eKrgr90BzG8u$fdrhh,
,SEAFREIGHT,IfcLabel,107P8wu79F1fV1VKkF8WRy,
PEnum_FuelType,,,,
,DIESEL,IfcLabel,2uTsKSM$H68Rm3LJbGoUIX,
,PETROL,IfcLabel,3MCebi1fj32g1Y0yJIbEmr,
,CNG,IfcLabel,1PrrAHqWn9z9rIg1O9DJg5,
,HYDROGEN,IfcLabel,1a8$Cu9n9E9B_luMVjCk2Y,
,FUELOIL,IfcLabel,34PO8Z2lvEHx_YQM7pRQ4o,
,ELECTRICITY,IfcLabel,3qORdmEiD0oPIXCArZsEt8,
PEnum_CorePCR,,,,
