PropertySetName,PropertyName,Required/ Optional,IFCType,DataType,Unit,Applicability
BR18LCAPset_GeneralInformation,,,,,,IfcBuilding
,ProjectName,r,IfcPropertySingleValue,IfcLabel,unitless,
,Address,r,IfcPropertySingleValue,IfcLabel,unitless,
,AssessmentDate,r,IfcPropertySingleValue,IfcDate,unitless,
,AssessorDetails,r,IfcPropertySingleValue,IfcText,unitless,
,Client,r,IfcPropertySingleValue,IfcLabel,unitless,
,BuildingRegulationVersion,r,IfcPropertySingleValue,IfcIdentifier,unitless,
,LCAToolDescription,r,IfcPropertySingleValue,IfcText,unitless,
BR18LCAPset_FunctionalEquivalent,,,,,,IfcBuilding
,BuildingType,r,IfcPropertySingleValue,IfcLabel,unitless,
,ReferenceUnit,r,IfcPropertySingleValue,IfcLabel,unitless,
,RSL,r,IfcPropertySingleValue,IfcTimeMeasure,yr,
,ReferencedStudyPeriod,r,IfcPropertySingleValue,IfcTimeMeasure,yr,
,ConstructionYear,r,IfcPropertySingleValue,IfcTimeMeasure,unitless,
BR18LCAPset_Areas,,,,,,IfcBuilding
,UsefulFloorArea,r,IfcPropertySingleValue,IfcAreaMeasure,m2,
,HeatedArea,r,IfcPropertySingleValue,IfcAreaMeasure,m2,
,IntegratedGarages,r,IfcPropertySingleValue,IfcAreaMeasure,m2,
,AdditionalArea,r,IfcPropertySingleValue,IfcAreaMeasure,m2,
,ReferenceArea,r,IfcPropertySingleValue,IfcAreaMeasure,m2,
BR18LCAPset_OperationalUse,,,,,,IfcBuilding
,HeatingUsage,r,IfcPropertySingleValue,IfcEnergyMeasure,kWh,
,ElectricityUsage,r,IfcPropertySingleValue,IfcEnergyMeasure,kWh,
,HeatingSubsidy,r,IfcPropertySingleValue,IfcEnergyMeasure,kWh,
,ElectricitySubsidy,r,IfcPropertySingleValue,IfcEnergyMeasure,kWh,
,ExportedElectricity,r,IfcPropertySingleValue,IfcEnergyMeasure,kWh,
,ElectricitySource,r,IfcPropertySingleValue,IfcEnergyMeasure,kWh,
,HeatingSource,r,IfcPropertySingleValue,IfcEnergyMeasure,kWh,
BR18LCAPset_KeyResults,,,,,,"IfcBuilding, IfcBuildingElement, IfcGroup"
,BoundaryValueRequirement,r,IfcPropertySingleValue,IfcReal,kg CO2-eq/m2/yr,
,LowEmissionClass,r,IfcPropertySingleValue,IfcReal,kg CO2-eq/m2/yr,
,TotalClimateImpact,r,IfcPropertySingleValue,IfcReal,kg CO2-eq/m2/yr,
,IncreasedClimateImpact,r,IfcPropertySingleValue,IfcReal,kg CO2-eq/m2/yr,
,NetClimateImpactExclIncrease,r,IfcPropertySingleValue,IfcReal,kg CO2-eq/m2/yr,
BR18LCAPset_EPDInformation,,o,,,,"IfcBuildingElement, IfcMaterialDefinition"
,UUID,o,IfcPropertySingleValue,IfcIdentifier,unitless,
,Name,o,IfcPropertySingleValue,IfcLabel,unitless,
,DeclaredUnit,o,IfcPropertySingleValue,IfcLabel,unitless,
,ServiceLife,o,IfcPropertySingleValue,IfcTimeMeasure,yr,
,DataSetVersion,o,IfcPropertySingleValue,IfcIdentifier,unitless,
,DataSetURI,o,IfcPropertySingleValue,IfcURIReference,unitless,
,Source,o,IfcPropertySingleValue,IfcLabel,unitless,
,ConvertedAmount,o,IfcPropertySingleValue,IfcReal,variable,
,Amount,o,IfcPropertySingleValue,IfcReal,variable,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
